word,sentiment
sex,positive
sex,sex
sex,negative
love,sex
love,positive
hair,appearance
beauty,appearance
hot,appearance
dollars,money
free,money
skin,appearance
issue,sell
secrets,sell
easy,positive
easy,sell
style,appearance
inside,sell
money,money
black,positive
black,empowering
win,sell
fun,positive
sexy,positive
sexy,appearance
sexy,sex
ideas,sell
body,appearance
body,sex
fashion,appearance
exclusive,sell
makeup,appearance
special,sell
tips,sell
women,empowering
pretty,appearance
secret,sell
moves,sex
moves,sell
tricks,sell
tricks,sex
real,positive
real,empowering
real,sell
guys,sex
save,sell
save,money
guide,sell
recipes,home
story,sell
party,positive
pounds,appearance
youll,sell
cute,appearance
fall,appearance
fast,sell
fast,appearance
woman,empowering
amazing,positive
clothes,appearance
confidence,empowering
school,professional
school,empowering
top,sell
advice,sell
abs,sex
abs,appearance
feel,empowering
feel,positive
holiday,money
holiday,home
world,empowering
fresh,positive
power,empowering
ultimate,sell
ultimate,positive
flat,appearance
healthy,positive
healthy,home
healthy,appearance
perfect,positive
perfect,appearance
cool,positive
cool,appearance
eat,positive
eat,home
eat,appearance
shoes,appearance
shoes,money
gifts,money
gifts,sell
quick,home
quick,sell
bonus,sell
crazy,negative
health,positive
health,home
health,appearance
health,sex
tested,sell
butt,sex
butt,appearance
buys,appearance
buys,money
confessions,sex
confessions,sell
dresses,appearance
dollar,sell
dollar,money
minutes,appearance
stress,empowering
deals,money
deals,sell
plan,appearance
plan,money
dream,empowering
dream,positive
home,home
naughty,sex
naughty,negative
read,sell
shopping,appearance
shopping,sell
shopping,money
workout,sex
workout,appearance
youve,sell
budget,appearance
budget,money
family,home
happy,empowering
happy,positive
super,positive
trick,sex
trick,home
trick,sell
youre,sell
awesome,positive
jeans,money
jeans,appearance
mind,positive
report,sell
sexiest,appearance
sexiest,sex
simple,sell
styles,appearance
weight,negative
weight,appearance
bed,home
bed,sex
awards,appearance
awards,positive
job,empowering
job,money
job,professional
live,positive
major,positive
major,sell
pages,sell
success,professional
success,empowering
ass,sex
ass,positive
ass,appearance
delicious,positive
delicious,home
drama,negative
food,appearance
food,home
swimsuits,appearance
beach,appearance
boost,empowering
care,positive
dinners,home
friends,positive
genius,positive
lost,appearance
meals,home
naked,sex
naked,appearance
stories,sell
surprising,positive
surprising,sell
bad,sex
bad,negative
cash,money
change,sell
change,empowering
change,positive
days,positive
drink,positive
drink,appearance
epic,positive
instant,sell
lose,appearance
marriage,sell
marriage,positive
marriage,home
music,positive
ready,positive
rock,positive
sleep,positive
stars,sell
stars,positive
stay,positive
tons,positive
trends,appearance
wild,positive
wild,sex
buy,appearance
buy,money
coupons,sell
coupons,money
crush,positive
diet,appearance
diy,money
diy,home
flirty,positive
flirty,appearance
smart,empowering
smart,positive
smart,professional
suppers,home
bags,appearance
beautiful,appearance
boss,positive
career,empowering
career,professional
freebies,sell
freebies,money
gift,money
gift,sell
gorgeous,appearance
hacks,positive
kids,home
kitchen,home
products,appearance
products,money
shape,appearance
worth,positive
car,positive
chicken,home
cover,sell
damn,positive
date,sex
fab,positive
hottest,appearance
hottest,positive
juicy,sell
natural,empowering
natural,appearance
slim,appearance
bars,positive
bikini,appearance
blowout,positive
blowout,money
college,empowering
college,money
college,professional
color,appearance
confident,positive
confident,empowering
enter,sell
fat,negative
fat,appearance
finding,empowering
game,positive
gyno,empowering
gyno,sex
happier,positive
happiness,positive
hard,positive
interview,professional
interview,sell
joy,positive
lab,sell
nails,appearance
solutions,positive
start,positive
steps,positive
wear,appearance
approved,sell
approved,positive
cars,positive
clutter,home
dress,appearance
fit,appearance
fix,positive
god,positive
hell,positive
hit,appearance
hit,sex
living,empowering
orgasm,sex
outfits,appearance
pasta,home
size,empowering
treats,positive
alive,positive
anti,appearance
beat,positive
bold,empowering
changed,positive
changed,empowering
clean,home
dating,sex
desserts,home
energy,positive
fight,positive
found,positive
frizz,appearance
goals,positive
loss,appearance
nail,sell
nail,appearance
organize,positive
pleasure,sex
score,positive
selfie,appearance
shine,positive
spend,money
strong,positive
strong,empowering
tv,home
vacation,positive
vacation,money
alert,sell
bbq,home
belly,appearance
belly,negative
book,professional
coolest,positive
decor,home
dr,professional
drop,appearance
eyes,appearance
fierce,positive
fierce,empowering
flawless,empowering
flawless,appearance
flawless,positive
foods,home
future,empowering
future,positive
future,professional
glam,appearance
hilarious,positive
history,empowering
hotter,appearance
house,home
jewelry,appearance
jewelry,money
lives,positive
makeovers,appearance
month,sell
move,sex
page,sell
raising,home
reader,sell
readers,sell
shop,positive
starring,sell
steals,money
steals,sell
wisdom,professional
wisdom,positive
